Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Salmonella spp.

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Salmonella spp.","Meropenem","CAN","Canada","Region of the Americas",467,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","CHE","Switzerland","European Region",16,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","CHE","Switzerland","European Region",93,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","CHE","Switzerland","European Region",95,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","CHE","Switzerland","European Region",102,17,16.666666667
"Bloodstream","Salmonella spp.","Ertapenem","CHE","Switzerland","European Region",71,0,0
"Bloodstream","Salmonella spp.","Levofloxacin","CHE","Switzerland","European Region",33,3,9.090909091
"Bloodstream","Salmonella spp.","Meropenem","CHE","Switzerland","European Region",77,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","CMR","Cameroon","African Region",13,2,15.384615385
"Bloodstream","Salmonella spp.","Ceftazidime","CMR","Cameroon","African Region",18,2,11.111111111
"Bloodstream","Salmonella spp.","Ceftriaxone","CMR","Cameroon","African Region",11,1,9.090909091
"Bloodstream","Salmonella spp.","Ciprofloxacin","CMR","Cameroon","African Region",21,6,28.571428571
"Bloodstream","Salmonella spp.","Ertapenem","CMR","Cameroon","African Region",16,1,6.25
"Bloodstream","Salmonella spp.","Imipenem","CMR","Cameroon","African Region",14,1,7.142857143
"Bloodstream","Salmonella spp.","Cefotaxime","COD","Democratic Republic of the Congo","African Region",582,496,85.223367698
"Bloodstream","Salmonella spp.","Ceftriaxone","COD","Democratic Republic of the Congo","African Region",582,496,85.223367698
"Bloodstream","Salmonella spp.","Ciprofloxacin","COD","Democratic Republic of the Congo","African Region",378,296,78.306878307
"Bloodstream","Salmonella spp.","Imipenem","COD","Democratic Republic of the Congo","African Region",312,1,0.320512821
"Bloodstream","Salmonella spp.","Cefotaxime","COL","Colombia","Region of the Americas",91,18,19.78021978
"Bloodstream","Salmonella spp.","Ceftriaxone","COL","Colombia","Region of the Americas",698,83,11.891117479
"Bloodstream","Salmonella spp.","Ciprofloxacin","COL","Colombia","Region of the Americas",843,215,25.504151839
"Bloodstream","Salmonella spp.","Ertapenem","COL","Colombia","Region of the Americas",834,4,0.479616307
"Bloodstream","Salmonella spp.","Imipenem","COL","Colombia","Region of the Americas",610,1,0.163934426
"Bloodstream","Salmonella spp.","Levofloxacin","COL","Colombia","Region of the Americas",243,36,14.814814815
"Bloodstream","Salmonella spp.","Meropenem","COL","Colombia","Region of the Americas",848,1,0.117924528
"Bloodstream","Salmonella spp.","Cefotaxime","DEU","Germany","European Region",319,3,0.940438871
"Bloodstream","Salmonella spp.","Ceftazidime","DEU","Germany","European Region",320,3,0.9375
"Bloodstream","Salmonella spp.","Ceftriaxone","DEU","Germany","European Region",227,1,0.440528634
"Bloodstream","Salmonella spp.","Ciprofloxacin","DEU","Germany","European Region",319,92,28.840125392
"Bloodstream","Salmonella spp.","Ertapenem","DEU","Germany","European Region",231,0,0
"Bloodstream","Salmonella spp.","Imipenem","DEU","Germany","European Region",310,0,0
"Bloodstream","Salmonella spp.","Levofloxacin","DEU","Germany","European Region",91,25,27.472527473
"Bloodstream","Salmonella spp.","Meropenem","DEU","Germany","European Region",327,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","DZA","Algeria","African Region",21,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","DZA","Algeria","African Region",17,0,0
"Bloodstream","Salmonella spp.","Ertapenem","DZA","Algeria","African Region",15,0,0
"Bloodstream","Salmonella spp.","Imipenem","DZA","Algeria","African Region",21,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","ETH","Ethiopia","African Region",21,7,33.333333333
"Bloodstream","Salmonella spp.","Ciprofloxacin","ETH","Ethiopia","African Region",27,6,22.222222222
"Bloodstream","Salmonella spp.","Cefotaxime","FIN","Finland","European Region",19,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","FIN","Finland","European Region",19,6,31.578947368
"Bloodstream","Salmonella spp.","Meropenem","FIN","Finland","European Region",19,0,0
"Bloodstream","Salmonella spp.","Cefotaxime","FRA","France","European Region",56,0,0
"Bloodstream","Salmonella spp.","Ceftazidime","FRA","France","European Region",56,0,0
"Bloodstream","Salmonella spp.","Ciprofloxacin","FRA","France","European Region",56,16,28.571428571
"Bloodstream","Salmonella spp.","Meropenem","FRA","France","European Region",56,0,0
"Bloodstream","Salmonella spp.","Ceftriaxone","GBR","United Kingdom of Great Britain and Northern Ireland","European Region",357,11,3.081232493
