Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae

Summary values with at least 10 BCIs with AST results
"Specimen","PathogenName","AntibioticName","Min","Q1","Median","Q3","Max","CTAsCount","TotalBCIsWithAST"
"Bloodstream","Klebsiella pneumoniae","Cefepime","AUT","Austria","European Region",922,93,10.086767896
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","AUT","Austria","European Region",742,106,14.285714286
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","AUT","Austria","European Region",512,57,11.1328125
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","AUT","Austria","European Region",124,27,21.774193548
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","AUT","Austria","European Region",1136,140,12.323943662
"Bloodstream","Klebsiella pneumoniae","Colistin","AUT","Austria","European Region",52,2,3.846153846
"Bloodstream","Klebsiella pneumoniae","Ertapenem","AUT","Austria","European Region",280,10,3.571428571
"Bloodstream","Klebsiella pneumoniae","Imipenem","AUT","Austria","European Region",447,11,2.460850112
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","AUT","Austria","European Region",161,37,22.98136646
"Bloodstream","Klebsiella pneumoniae","Meropenem","AUT","Austria","European Region",883,9,1.019252548
"Bloodstream","Klebsiella pneumoniae","Cefepime","BEL","Belgium","European Region",700,126,18
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","BEL","Belgium","European Region",274,52,18.97810219
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BEL","Belgium","European Region",582,122,20.962199313
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BEL","Belgium","European Region",117,19,16.239316239
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BEL","Belgium","European Region",830,180,21.686746988
"Bloodstream","Klebsiella pneumoniae","Colistin","BEL","Belgium","European Region",133,1,0.751879699
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BEL","Belgium","European Region",126,10,7.936507937
"Bloodstream","Klebsiella pneumoniae","Imipenem","BEL","Belgium","European Region",54,1,1.851851852
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BEL","Belgium","European Region",140,33,23.571428571
"Bloodstream","Klebsiella pneumoniae","Meropenem","BEL","Belgium","European Region",919,21,2.285092492
"Bloodstream","Klebsiella pneumoniae","Cefepime","BEN","Benin","African Region",180,150,83.333333333
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","BEN","Benin","African Region",317,273,86.119873817
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BEN","Benin","African Region",316,272,86.075949367
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BEN","Benin","African Region",318,274,86.163522013
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BEN","Benin","African Region",294,219,74.489795918
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BEN","Benin","African Region",111,100,90.09009009
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BEN","Benin","African Region",272,32,11.764705882
"Bloodstream","Klebsiella pneumoniae","Imipenem","BEN","Benin","African Region",268,14,5.223880597
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BEN","Benin","African Region",219,183,83.561643836
"Bloodstream","Klebsiella pneumoniae","Meropenem","BEN","Benin","African Region",230,23,10
"Bloodstream","Klebsiella pneumoniae","Cefepime","BFA","Burkina Faso","African Region",15,13,86.666666667
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BFA","Burkina Faso","African Region",23,20,86.956521739
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BFA","Burkina Faso","African Region",31,30,96.774193548
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BFA","Burkina Faso","African Region",19,13,68.421052632
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BFA","Burkina Faso","African Region",24,23,95.833333333
"Bloodstream","Klebsiella pneumoniae","Imipenem","BFA","Burkina Faso","African Region",21,4,19.047619048
"Bloodstream","Klebsiella pneumoniae","Cefepime","BGD","Bangladesh","South-East Asia Region",38,31,81.578947368
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","BGD","Bangladesh","South-East Asia Region",26,23,88.461538462
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BGD","Bangladesh","South-East Asia Region",40,36,90
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BGD","Bangladesh","South-East Asia Region",38,35,92.105263158
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BGD","Bangladesh","South-East Asia Region",39,25,64.102564103
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BGD","Bangladesh","South-East Asia Region",37,27,72.972972973
"Bloodstream","Klebsiella pneumoniae","Imipenem","BGD","Bangladesh","South-East Asia Region",19,10,52.631578947
"Bloodstream","Klebsiella pneumoniae","Meropenem","BGD","Bangladesh","South-East Asia Region",37,19,51.351351351
"Bloodstream","Klebsiella pneumoniae","Cefepime","BHR","Bahrain","Eastern Mediterranean Region",183,105,57.37704918
"Bloodstream","Klebsiella pneumoniae","Cefotaxime","BHR","Bahrain","Eastern Mediterranean Region",15,7,46.666666667
"Bloodstream","Klebsiella pneumoniae","Ceftazidime","BHR","Bahrain","Eastern Mediterranean Region",165,91,55.151515152
"Bloodstream","Klebsiella pneumoniae","Ceftriaxone","BHR","Bahrain","Eastern Mediterranean Region",246,126,51.219512195
"Bloodstream","Klebsiella pneumoniae","Ciprofloxacin","BHR","Bahrain","Eastern Mediterranean Region",246,116,47.154471545
"Bloodstream","Klebsiella pneumoniae","Co-trimoxazole","BHR","Bahrain","Eastern Mediterranean Region",108,47,43.518518519
"Bloodstream","Klebsiella pneumoniae","Colistin","BHR","Bahrain","Eastern Mediterranean Region",93,26,27.956989247
"Bloodstream","Klebsiella pneumoniae","Ertapenem","BHR","Bahrain","Eastern Mediterranean Region",168,92,54.761904762
"Bloodstream","Klebsiella pneumoniae","Imipenem","BHR","Bahrain","Eastern Mediterranean Region",172,85,49.418604651
"Bloodstream","Klebsiella pneumoniae","Levofloxacin","BHR","Bahrain","Eastern Mediterranean Region",162,82,50.617283951
